Description,Barangay,City,Province,Price_PHP,Bedrooms,Bath,Floor_area_sqm,Land_area_sqm
"2-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu",Mactan,Lapu-Lapu,Cebu,15916180,2,2,74,
"1-Bedroom Unit for Sale in Amisa Private Residences - Tower D, Lapu-Lapu City, Cebu",Mactan,Lapu-Lapu,Cebu,8730355,1,1,41,
"Offices at The Galleon - Prime Unit (11G) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,27448000,,,82,
"1-Bedroom Unit (821) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16011000,1,,58,
"Alice 2 Storey Townhouse For Sale in Lancaster New City in General Trias, Cavite",Tapia,General Trias,Cavite,1935600,3,,40,40
"Studio Condo Unit (6B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7587013,1,1,32,
"Studio Deluxe (43E) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,13246000,1,1,46,
"1-Bedroom Unit (1918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,56,
"1-Bedroom Unit (21J) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26930000,1,1,70,
"Studio Condo Unit (6F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,8360751,1,1,33,
"1-Bedroom Unit (11K) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22042000,1,1,67,
"3-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,5110000,3,,66,88
"5-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Greta",Cupang Proper,Balanga,Bataan,8982000,5,,166,142
"4-Bedroom Condo Unit for Sale at Camella Manors - Northpoint in Bajada, Davao City",Barangay 19-B,Davao,Davao Del Sur,16487500,4,2,92,
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Erica Model",Cabuco,Trece Martires,Cavite,2089739,2,,40,45
"Studio Unit (52N) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,12415000,1,1,41,
"1-Bedroom Unit (3806) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16618000,1,,57,
"1-Bedroom Unit (4116) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,18160000,1,,57,
"1-Bedroom Unit (812) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15669000,1,,58,
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,2636000,2,,40,54
"1-Bedroom Unit (1121) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15229000,1,,56,
"1-Bedroom Unit (2018) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15492000,1,,53,
"1-Bedroom Unit (816) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15297000,1,,56,
"1-Bedroom Unit (3022) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16602000,1,1,58,
"For Sale: Studio Condo Unit at Camella Manors - Northpoint in Bajada, Davao City",Barangay 19-B,Davao,Davao Del Sur,4009821,1,1,22,
"5-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | E...",Isabang,Tayabas,Quezon,8385000,5,,100,194
"2-Bedroom Unit (38O) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,35121000,2,2,106,
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | C...",Isabang,Tayabas,Quezon,4160000,2,,40,108
"2-Bedroom House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | A...",Isabang,Tayabas,Quezon,2582000,2,,36,59
"Studio (4017) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8872000,1,,35,
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Ezabelle, NRF...",Longos,Malolos,Bulacan,3365000,2,,46,63
"1-Bedroom Unit (12F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21625000,1,1,67,
"1-Bedroom Unit (34D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21129000,1,1,66,
"1-Bedroom Unit (3011) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15972000,1,,58,
"1-Bedroom Unit (4014) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16274000,1,,57,
"1-Bedroom Unit (4106) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,18392000,1,,57,
"1-Bedroom Unit (2707) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15898000,1,,56,
"1-Bedroom Unit (2318) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15627000,1,1,53,
"1-Bedroom Unit (1405) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15635000,1,,56,
