ID_no,Using_socmed_on_purpose,Considered_as_distraction,Feeling_restless,Worried,Hard_time_to_concentrate,Feeling_jealous_insecure,Seeking_validation,Depressed,Inconsistent_daily_activities,Sleeping_issues
1,Yes,Neither,No,No,Yes,No,No,Yes,Yes,Yes
2,Yes,Neither,No,Yes,Yes,Yes,No,Yes,Yes,Yes
3,Neither,No,No,Yes,Yes,Neither,No,Yes,No,Yes
4,Yes,No,No,Yes,Neither,Yes,No,Yes,Neither,No
5,Neither,Yes,Yes,Yes,Yes,Neither,Neither,Yes,Yes,No
6,Yes,Yes,No,Yes,Neither,Yes,Neither,Neither,No,Yes
7,Yes,Neither,No,Yes,Neither,Yes,Yes,Yes,Yes,Neither
8,Yes,No,Neither,Neither,No,No,No,Yes,Yes,No
9,Yes,No,Neither,No,No,No,No,Yes,Yes,No
10,No,No,No,No,No,No,No,No,No,No
11,Yes,Yes,No,Neither,Yes,Yes,Neither,Yes,Yes,Yes
12,Yes,Yes,No,Neither,Yes,No,Neither,Neither,Yes,No
13,Neither,Yes,No,Yes,No,Yes,No,Neither,No,Yes
14,Yes,Neither,No,Yes,Yes,No,No,Neither,Neither,Neither
15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
16,Neither,Yes,No,Yes,Yes,Neither,No,Neither,Yes,No
17,No,No,No,Yes,No,No,No,Yes,No,Neither
18,Yes,Yes,Yes,Neither,Neither,No,No,No,No,No
19,Neither,Yes,No,Yes,Yes,No,No,Neither,Neither,No
20,No,Yes,Neither,Yes,No,No,Neither,No,No,No
21,Yes,No,No,Neither,No,No,No,No,Neither,No
22,Neither,No,Yes,Yes,No,Yes,No,Neither,Neither,No
23,Neither,Yes,Neither,Yes,Yes,Yes,Neither,Yes,Yes,Yes
24,Neither,No,No,Yes,Neither,Neither,Neither,Yes,Yes,No
25,Neither,Neither,Yes,Yes,Yes,Yes,Neither,Neither,Yes,Yes
26,Yes,Yes,Neither,Neither,Neither,Yes,Yes,Yes,No,No
27,Yes,Yes,Neither,Neither,Yes,No,Neither,Yes,Neither,Yes
